date_sign_up,customer_id,product_name,marketing_channel,City
4/13/2015 20:41,217219,Classic - 3 meals per week for 4 people,Search Engine Marketing,Washington
4/13/2015 20:36,217233,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 21:15,217264,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 21:34,217282,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 21:37,217286,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/13/2015 22:43,217319,3 Meals (vegetarian) for 2 people,Partnership Marketing,Los Angeles
4/14/2015 3:16,217365,Classic - 3 meals per week for 4 people,Search Engine Marketing,Los Angeles
4/14/2015 4:15,217380,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 6:04,217455,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 6:16,217460,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 6:23,217477,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 7:10,217539,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Los Angeles
4/14/2015 7:34,217566,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 7:25,217572,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 8:01,217631,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 8:09,217652,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 8:12,217658,Classic - 3 meals per week for 2 people,Partnership Marketing,Los Angeles
4/14/2015 8:31,217690,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 8:45,217717,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 8:51,217730,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 8:55,217735,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/16/2015 11:49,217739,Classic - 3 meals per week for 4 people,Newsletters (internal),San Diego
4/14/2015 8:57,217749,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:03,217758,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:56,217776,3 Meals (vegetarian) for 2 people,Partnership Marketing,Los Angeles
4/14/2015 9:13,217778,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/17/2015 9:39,217784,Classic - 3 meals per week for 4 people,Newsletters (internal),San Diego
4/14/2015 9:20,217787,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:16,217788,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:42,217792,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:19,217800,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:19,217801,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:25,217802,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:23,217815,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:29,217818,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 9:26,217822,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 10:02,217887,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:57,217890,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 9:56,217893,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 9:58,217897,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 10:17,217940,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:23,217941,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:22,217945,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:20,217950,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:21,217962,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:22,217967,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:26,217973,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:32,217982,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:30,217983,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:30,217990,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 10:32,218000,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:37,218011,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 10:37,218012,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:40,218014,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:40,218015,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:47,218022,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 10:41,218025,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:46,218030,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:48,218033,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:46,218038,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:50,218041,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:53,218045,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 10:49,218046,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 10:50,218048,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:52,218050,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:54,218054,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:56,218055,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 10:56,218057,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:01,218060,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 10:58,218061,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:27,218063,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:45,218070,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:03,218072,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:05,218076,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:05,218077,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 15:38,218093,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 11:11,218096,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Los Angeles
4/14/2015 11:14,218100,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:18,218111,3 Meals (vegetarian) for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:19,218113,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:23,218118,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:29,218130,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 11:30,218142,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:33,218150,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:34,218151,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:35,218152,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:38,218164,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 11:49,218206,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:52,218221,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 11:52,218224,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:54,218225,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:55,218247,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/2015 11:59,218264,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 11:59,218265,3 Meals (vegetarian) for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 12:01,218275,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 12:01,218277,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 12:21,218289,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 12:12,218337,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 12:25,218387,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 12:26,218395,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 12:30,218406,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 12:30,218409,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 12:37,218429,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 12:38,218432,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 13:03,218504,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 13:11,218523,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 13:11,218532,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 13:14,218541,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 13:16,218546,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 13:28,218575,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 15:44,218593,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 13:41,218614,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 13:49,218630,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 13:54,218644,Classic - 3 meals per week for 2 people,Partnership Marketing,Los Angeles
4/14/2015 13:58,218653,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 14:31,218671,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 14:19,218695,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 14:18,218697,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/2015 14:24,218705,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 15:35,218708,Classic - 3 meals per week for 4 people,TV / Radio Advertising,San Francisco
4/14/2015 14:44,218751,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/2015 14:46,218763,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 15:19,218784,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 14:55,218792,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/2015 16:05,218796,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 14:57,218797,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 14:57,218799,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 15:13,218813,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/2015 15:18,218839,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 15:23,218852,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 15:27,218860,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/2015 15:33,218870,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 15:39,218883,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 15:42,218889,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 15:56,218925,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:14,218968,Classic - 3 meals per week for 4 people,Search Engine Marketing,San Francisco
4/14/2015 16:18,218975,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:21,218976,3 Meals (vegetarian) for 2 people,Partnership Marketing,San Francisco
4/14/2015 16:29,218984,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:22,218986,3 Meals (vegetarian) for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:29,219015,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:32,219020,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:33,219025,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/2015 16:35,219029,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:00,219034,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 16:43,219043,Classic - 3 meals per week for 2 people,Partnership Marketing,San Francisco
4/14/2015 16:47,219055,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/2015 16:55,219075,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/2015 16:58,219080,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:01,219083,Classic - 3 meals per week for 4 people,TV / Radio Advertising,San Francisco
4/14/2015 17:01,219086,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/2015 17:05,219095,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:14,219102,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/2015 17:56,219134,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:27,219135,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:23,219136,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/2015 17:23,219137,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:26,219146,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 17:26,219149,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:29,219151,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 17:28,219152,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 17:44,219196,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 17:49,219208,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 18:11,219241,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 18:19,219263,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 18:28,219285,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 18:28,219286,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 18:31,219297,Classic - 3 meals per week for 4 people,Partnership Marketing,San Francisco
4/14/2015 18:35,219304,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/2015 18:40,219311,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 18:40,219321,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/2015 18:42,219325,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,San Francisco
